metric,count,mean,std,min,25%,50%,75%,max
authenticity_index,373.0,0.5789616621983914,0.1554020571279392,0.111,0.4883,0.5948,0.6841,0.9055
theme_overlap_jaccard,449.0,0.5706930957683741,0.3426832240249259,0.0,0.3333,0.6667,0.8889,1.0
theme_emphasis_cosine,367.0,0.4415572207084468,0.223918917545788,0.0,0.28425,0.3997,0.569,0.9782
tone_alignment,450.0,0.7310906666666667,0.16295679753755943,0.2923,0.611225,0.7379,0.8671,1.0
