component_gap_driver,rows,share_of_all_rows,scored_rows,share_of_scored_rows
theme_emphasis_gap,259,0.5755555555555556,259.0,0.6943699731903485
insufficient_data,77,0.1711111111111111,,
tone_gap,60,0.13333333333333333,60.0,0.16085790884718498
theme_overlap_gap,54,0.12,54.0,0.1447721179624665
