gap_type,rows,share_of_all_rows,scored_rows,share_of_scored_rows
same_themes_different_emphasis,162,0.36,162.0,0.4343163538873995
high_alignment,86,0.19111111111111112,86.0,0.23056300268096513
insufficient_data,77,0.1711111111111111,,
different_themes_similar_tone,70,0.15555555555555556,70.0,0.1876675603217158
broad_misalignment,55,0.12222222222222222,55.0,0.14745308310991956
