ticker,company_name,sector,year,has_text,text_len,tone_net,tone_change_from_prior,total_theme_mentions_per_10k,theme_mentions_change_from_prior,dominant_theme,text_similarity_to_prior,changed_from_prior,theme_shift_from_prior
AXP,American Express,Financials,2016,True,401760,-0.0674,,56.003299999999996,,financial_performance_growth,,,
AXP,American Express,Financials,2017,True,277580,-0.0145,0.0529,62.036100000000005,6.032800000000009,financial_performance_growth,0.1506,True,9.336799999999997
AXP,American Express,Financials,2018,True,314098,-0.074,-0.0595,56.5429,-5.493200000000002,financial_performance_growth,0.17275,True,8.985799999999998
AXP,American Express,Financials,2019,True,306588,0.1028,0.1768,57.732299999999995,1.189399999999992,financial_performance_growth,0.21565,True,6.7376000000000005
AXP,American Express,Financials,2020,True,356110,-0.0067,-0.1095,51.5009,-6.231399999999994,financial_performance_growth,0.23805,True,8.315999999999999
AXP,American Express,Financials,2021,True,316003,0.2,0.20670000000000002,64.14500000000001,12.644100000000009,financial_performance_growth,0.2232,True,14.2979
AXP,American Express,Financials,2022,True,291181,0.0283,-0.17170000000000002,61.7829,-2.3621000000000123,financial_performance_growth,0.31715,True,9.882899999999996
AXP,American Express,Financials,2023,True,331078,-0.1455,-0.17379999999999998,63.640600000000006,1.8577000000000083,financial_performance_growth,0.358,True,9.817499999999999
AXP,American Express,Financials,2024,True,450848,-0.1508,-0.005299999999999999,57.5804,-6.060200000000009,financial_performance_growth,0.54395,True,7.645199999999997
BAC,Bank of America,Financials,2016,True,278490,-0.13,,58.5299,,financial_performance_growth,,,
BAC,Bank of America,Financials,2017,True,340945,0.0068,0.1368,58.484700000000004,-0.045199999999994134,financial_performance_growth,0.1924,True,7.139600000000002
BAC,Bank of America,Financials,2018,True,336288,0.0269,0.0201,60.097300000000004,1.6126000000000005,financial_performance_growth,0.20565,True,5.464
BAC,Bank of America,Financials,2019,True,503159,0.0755,0.0486,59.82209999999999,-0.2752000000000123,financial_performance_growth,0.2712,True,12.891599999999997
BAC,Bank of America,Financials,2020,True,392875,0.2027,0.12719999999999998,71.0404,11.218300000000013,financial_performance_growth,0.3107,True,11.2993
BAC,Bank of America,Financials,2021,True,550343,0.3232,0.1205,66.57669999999999,-4.463700000000017,financial_performance_growth,0.3306,True,9.977299999999998
